0	-1
Donald Trump	1
Melania Trump	1
United States	1
CNN	1
News conference	1
Politics	1
Visa (document)	0.9893
Facebook	0.8921
Politics of the United States	0.8657
American politicians	0.7876
Government	0.7103
Presidency of the United States	0.5788
Permanent residence (United States)	0.5753
Executive branch of the United States government	0.5655
Controversies	0.5444
American political people	0.5349
Immigration	0.5253
Hillary Clinton	0.5125
Criticisms	0.5004
Government of the United States	0.4971
Facebook Messenger	0.473
United States law	0.4568
Politicians	0.4072
United States federal policy	0.3867
Law	0.3818
Presidents of the United States	0.38
Public sphere	0.3775
North Carolina	0.3626
Republican Party (United States)	0.3597
New York Post	0.349
Presidencies	0.3428
Anderson Cooper	0.3421
Social issues	0.336
New York	0.3316
Presidencies of the United States	0.3314
Social institutions	0.3156
Second Amendment to the United States Constitution	0.3111
National security	0.3001
Crimes	0.2845
United States presidential campaigns	0.2829
Politics of North America	0.2772
Workforce globalization	0.2709
Public administration	0.2706
Mass media	0.2525
Government information	0.2512
Candidates for President of the United States	0.2501
United States presidential administrations	0.2436
Misconduct	0.2417
Official documents	0.2338
Public law	0.2334
Scandals	0.2304
International relations	0.2281
Human rights	0.2208
Journalism	0.2068
Security	0.2051
1	-1
Donald Trump	1
Second Amendment to the United States Constitution	1
Hillary Clinton	1
United States	1
Rudy Giuliani	1
Assassination	1
CNN	1
Michael Hayden (general)	1
Politics	1
Government	1
National Rifle Association	0.9502
Politics of the United States	0.948
Judge	0.8363
Republican Party (United States)	0.7406
United States Secret Service	0.6819
Facebook	0.658
President of the United States	0.6342
Supreme Court of the United States	0.6154
American politicians	0.5953
Nothing	0.5909
Government of the United States	0.5868
Social issues	0.5665
Executive branch of the United States government	0.559
Running mate	0.5269
Election	0.5212
Politics of North America	0.5167
United States federal policy	0.5114
Supreme court	0.506
Central Intelligence Agency	0.4857
United States Senate	0.4729
Democratic Party (United States)	0.465
MoveOn.org	0.4627
Crime	0.4569
Overview of gun laws by nation	0.448
Law	0.4473
National security	0.4402
Public sphere	0.4307
Voting	0.4292
Mayor of New York City	0.4266
American political people	0.4129
Twitter	0.4032
Fox News Channel	0.3974
Tim Kaine	0.3924
Public administration	0.3922
North Carolina	0.3921
Social institutions	0.3872
Federal Bureau of Investigation	0.3827
Chris Murphy (Connecticut politician)	0.3668
Jake Tapper	0.3655
Facebook Messenger	0.3617
Crimes	0.3551
Government institutions	0.3525
Robby Mook	0.3451
Police	0.3425
Right to keep and bear arms	0.3317
Rifle	0.331
Mike Pence	0.3284
Culture	0.3232
Misconduct	0.3211
Presidency of the United States	0.3196
Rhetoric	0.3158
Politicians	0.3138
United States House of Representatives elections in Illinois, 2012	0.3057
Political action committee	0.3043
Soul	0.2911
Justice	0.2868
International relations	0.2842
Government-related organizations	0.2827
Human rights abuses	0.2815
International security	0.2806
The Secret Service	0.2779
Human rights	0.268
Criminal justice	0.2662
Supreme Court of India	0.2597
Fox Broadcasting Company	0.2561
Security	0.2473
Presidents of the United States	0.247
Controversies	0.2467
Public law	0.2394
Public policy	0.2335
Firearm	0.2294
Violence	0.2293
Government information	0.2215
Presidencies	0.2147
Political movement	0.2143
United States law	0.2125
Sean Hannity	0.2106
Social problems	0.2099
WCAU	0.2057
Political ideologies	0.2046
Mayor	0.2037
Applied ethics	0.2008
2	-1
Elina Svitolina	1
Tennis	1
United States	1
Serena Williams	1
Volleyball	1
Angelique Kerber	1
Venus Williams	1
Ekaterina Makarova	1
Olympic Games	1
Samantha Stosur	1
Diving	1
Tennis tournaments	1
Sports events	1
Sportswomen	1
Individual sports	1
Sportspeople	1
Women's tennis	1
Sports	1
Athletic sports	1
Female tennis players	1
Tennis players	1
The Championships, Wimbledon	0.9147
Russia	0.9096
Summer Olympic Games	0.9051
Svetlana Kuznetsova	0.8935
2016 Summer Olympics	0.8673
Racquet sports	0.8326
Madison Keys	0.823
Steffi Graf	0.7804
Freestyle swimming	0.765
Grand Slam (tennis)	0.7625
Archery	0.7492
Clay court	0.7266
France	0.7231
Women's sports	0.7083
Ball games	0.6991
French Open	0.6981
Tennis court	0.6716
Tennis people	0.6608
Johanna Konta	0.6213
Michael Phelps	0.6171
Ukraine	0.6117
Madison Kocian	0.6076
Katie Ledecky	0.6049
Gabby Douglas	0.6022
Olympic tennis players	0.582
Sports champions	0.5741
South Korea	0.5724
Pound (mass)	0.5689
History of tennis	0.5645
Simone Biles	0.5438
Summer	0.5341
World number 1 male tennis player rankings	0.5221
Aly Raisman	0.5218
United Kingdom	0.5134
Germany	0.5108
Summer Olympic sports	0.5105
Grand Slam (tennis) tournaments	0.505
Olympic sports	0.5029
Olympic weightlifting	0.4984
Rowena Webster	0.494
WTA Tour	0.4934
Grand Slam (tennis) tournament champions	0.4747
Hard court tennis tournaments	0.4738
Summer sports	0.4607
Chad le Clos	0.4524
Ki Bo-bae	0.4331
Games of physical skill	0.4303
Sports award winners	0.4239
Laurie Hernandez	0.4235
Anchor leg	0.4185
American sportspeople	0.4091
European sportspeople	0.4032
CNN	0.3942
Butterfly stroke	0.3904
Mixed doubles tennis	0.3769
June sporting events	0.3729
Tournament	0.3673
US Open (tennis)	0.3637
Facebook Messenger	0.3544
French Open champions	0.3488
Tennis at multi-sport events	0.3414
Sports competitions	0.3386
Spain	0.3382
Australian Open (tennis)	0.3353
Sports at the Summer Olympics	0.3352
Sideris Tasiadis	0.3315
Olympics people	0.3309
Championships	0.3309
Mexico	0.3275
Summer Olympics events	0.3263
Facebook	0.3252
Canadian Open (tennis)	0.3217
Rugby union	0.3189
Clay court tennis tournaments	0.3159
Eventing	0.3132
Multi-sport events	0.3129
Games	0.3118
Tennis at the Summer Olympics	0.3099
Leisure	0.3052
International sports competitions	0.3049
Swimming (sport)	0.3027
US Open (tennis) champions	0.3008
Takuya Haneda	0.3001
Italy	0.2996
Clean and jerk	0.2986
Nations at the Olympics	0.2922
Hopman Cup competitors	0.2872
Competition	0.2851
ATP Tour	0.2847
Chen Ruolin	0.2789
Liu Huixia	0.2784
Hopman Cup	0.276
Water polo	0.2709
Kilogram	0.2708
American sportswomen	0.2693
Knockout	0.2688
US Open Series	0.2596
Summer Olympics medalists	0.256
Rugby football	0.251
Wimbledon champions	0.2497
Hobbies	0.2491
Australian Open (tennis) champions	0.2432
